number,value,datetime_start,datetime_complete,duration,params_metodo,params_n_elites,params_pc,params_pm,params_tamano_muestra,state
36,47.41249793916284,2026-05-13 21:34:19.163124,2026-05-13 21:34:22.339607,0 days 00:00:03.176483,proportional,2,0.7976975175263277,0.004113041843412591,599,COMPLETE
37,9.50580795834529,2026-05-13 21:34:22.340675,2026-05-13 21:34:27.431655,0 days 00:00:05.090980,windows,1,0.6470459169992786,0.0016177352526624185,906,COMPLETE
38,68.70673398278987,2026-05-13 21:34:27.432585,2026-05-13 21:34:30.302338,0 days 00:00:02.869753,proportional,1,0.6224787101315953,0.0013703568377649634,696,COMPLETE
39,41.089099563950555,2026-05-13 21:34:30.303200,2026-05-13 21:34:34.874902,0 days 00:00:04.571702,windows,1,0.6452977142405938,0.0010299979066568808,766,COMPLETE
40,211.19091980398335,2026-05-13 21:34:34.875772,2026-05-13 21:34:38.150694,0 days 00:00:03.274922,proportional,5,0.817132546708284,0.014275619042470204,543,COMPLETE
41,65.08086956774713,2026-05-13 21:34:38.151361,2026-05-13 21:34:43.256811,0 days 00:00:05.105450,windows,1,0.6504765944338396,0.001625064218047087,914,COMPLETE
42,153.26337679114948,2026-05-13 21:34:43.257699,2026-05-13 21:34:48.123535,0 days 00:00:04.865836,windows,2,0.688544200128734,0.003017972441208651,823,COMPLETE
43,69.03016564129422,2026-05-13 21:34:48.124276,2026-05-13 21:34:53.736972,0 days 00:00:05.612696,windows,1,0.7130376104933551,0.002260185318839901,951,COMPLETE
44,58.13582034520016,2026-05-13 21:34:53.737742,2026-05-13 21:34:58.716604,0 days 00:00:04.978862,windows,2,0.6978997680812304,0.001461253312185032,900,COMPLETE
45,46.44686177846594,2026-05-13 21:34:58.717372,2026-05-13 21:35:04.521203,0 days 00:00:05.803831,windows,1,0.7378930251209945,0.0022035828898915436,998,COMPLETE
46,12.21974408448461,2026-05-13 21:35:04.521888,2026-05-13 21:35:10.006557,0 days 00:00:05.484669,windows,3,0.8960029531819309,0.0027012338727943714,841,COMPLETE
47,66.17678727292287,2026-05-13 21:35:10.007635,2026-05-13 21:35:14.466350,0 days 00:00:04.458715,windows,4,0.7572112788093682,0.008007669926863272,781,COMPLETE
48,247.03377747356572,2026-05-13 21:35:14.467063,2026-05-13 21:35:16.638225,0 days 00:00:02.171162,proportional,1,0.9382708510175092,0.0012494988557456258,365,COMPLETE
49,88.38790805987682,2026-05-13 21:35:16.638961,2026-05-13 21:35:22.095375,0 days 00:00:05.456414,windows,2,0.7843621371459147,0.004770703476629134,888,COMPLETE
